,GSM2054036,GSM2054037,GSM2054038,GSM2054039,GSM2054040,GSM2054041,GSM2054042,GSM2054043
UPK1A,0,6,2,1,6,7,2,12
UPK1B,0,1,0,0,0,1,0,0
UPK2,0,0,1,0,0,0,0,0
UPK3A,0,0,0,0,0,0,0,0
UPK3B,0,0,0,0,0,0,0,0
UPK3BL,0,0,0,0,5,2,1,6
UPP1,94,550,94,45,21,35,10,41
UPP2,10,28,9,4,79,97,49,111
UPRT,68,168,32,19,99,148,48,138
UQCC1,1352,3956,910,362,2555,3328,1209,3484
UQCC2,348,1224,240,127,357,433,170,481
UQCC3,233,887,199,88,396,465,208,541
UQCR10,1732,6704,1420,615,3470,4567,1746,4391
UQCR11,1854,6270,1463,604,4286,5211,2164,5065
UQCRB,3908,13482,3060,1285,5421,7147,2986,7556
UQCRC1,9242,30403,6252,2737,18349,26137,9859,24717
UQCRC2,11633,38453,8353,3741,14093,18316,8119,18896
UQCRFS1,8772,29574,6523,2649,8980,11864,5024,11624
UQCRH,4556,17382,3767,1620,6079,7674,3290,8114
UQCRQ,1839,6516,1451,583,3369,4679,1764,4431
URAD,0,0,0,0,0,0,0,0
URB1,269,980,275,102,586,737,345,771
URB2,133,396,78,37,238,221,92,266
URGCP,936,3607,710,337,1284,1800,704,1716
URI1,466,1599,305,157,553,800,269,758
URM1,149,681,134,61,380,472,169,458
UROC1,0,0,0,0,0,0,0,0
UROD,502,1909,372,144,833,1028,440,1068
UROS,378,1109,288,105,266,334,154,374
USB1,56,223,52,17,180,240,73,238
USE1,281,1256,221,96,991,1235,505,1225
USF1,149,527,114,44,339,465,158,442
USF2,388,1403,348,137,1124,1545,631,1543
USF3,643,1764,486,179,1446,2118,779,1813
USH1C,0,0,0,0,0,0,0,0
USH1G,0,2,0,0,0,0,1,0
USH2A,1,2,0,0,1,2,0,1
USHBP1,460,1440,370,167,1836,2201,893,2261
USMG5,1547,6301,1250,545,2222,2772,1172,2969
USO1,877,3021,588,292,1292,1565,625,1654
USP1,389,1438,284,141,610,786,263,779
USP10,602,1969,535,177,566,763,317,757
USP11,17,30,11,9,73,100,35,88
USP12,436,1449,417,153,709,997,360,930
USP13,31,31,5,20,6,13,14,151
USP14,528,1981,418,153,1558,2264,779,2050
USP15,653,2076,476,191,1768,2545,848,2306
USP16,976,3299,717,342,987,1105,468,1294
USP18,23,93,26,5,153,228,54,177
USP19,1372,4566,1133,506,2375,2563,1151,2930
USP2,775,2160,324,200,270,326,152,331
USP20,143,550,103,52,276,317,148,315
USP21,111,416,91,35,500,587,241,586
USP22,226,752,179,87,923,1181,452,1122
USP24,1683,4765,1366,506,2766,3483,1338,3481
USP25,1424,5006,1112,486,1509,2074,715,2102
USP26,1,0,0,1,0,0,0,0
USP27X,9,30,12,3,84,88,52,100
USP28,81,335,69,42,397,605,220,547
USP29,11,27,7,5,12,17,8,17
USP3,188,539,123,62,449,672,239,590
USP30,159,541,97,47,394,621,208,540
USP31,437,1312,312,164,812,1032,386,961
USP32,763,2388,553,286,1057,1532,544,1336
USP33,1992,5838,1503,621,1415,1797,753,1759
USP34,1537,4431,1165,497,2078,2880,1047,2709
USP35,22,101,20,10,66,103,40,80
USP36,287,1107,266,123,1117,1141,529,1292
USP37,134,405,112,48,361,455,157,465
USP38,360,1266,279,108,662,762,329,891
USP39,151,526,98,45,372,371,150,431
USP4,1266,4349,879,408,1695,2089,889,2233
USP40,662,2084,500,235,1109,1338,535,1376
USP42,67,256,71,31,353,390,181,402
USP43,38,156,32,19,36,43,19,49
USP44,0,0,0,0,1,1,1,0
USP45,345,1007,242,83,647,814,349,828
USP46,322,960,266,104,568,775,281,671
USP47,1147,3841,891,396,2267,2788,1009,2992
USP48,536,1893,439,192,1243,1662,674,1527
USP49,72,252,56,25,332,421,188,393
USP5,734,3059,631,274,1143,1384,546,1493
USP50,140,537,122,42,256,284,120,333
USP51,1,1,0,0,1,1,0,0
USP53,187,426,104,39,390,381,202,473
USP54,69,202,47,27,223,254,104,222
USP6NL,239,867,182,82,522,819,345,662
USP7,920,3024,681,309,1985,2442,952,2581
USP8,2319,6994,1575,702,1922,2756,895,2594
USP9X,2371,6702,1629,793,4100,5270,1958,5345
USP9Y,0,0,0,0,0,1,0,0
USPL1,273,1202,219,122,689,688,405,931
UST,30,77,21,5,102,132,36,149
UTF1,0,0,0,0,0,0,0,0
UTP14A,128,516,86,41,227,297,126,305
UTP15,123,404,105,42,223,239,117,278
UTP18,181,711,133,63,443,439,160,554
UTP20,257,867,187,79,634,735,266,811
UTP23,42,197,34,18,126,155,73,137
UTP3,147,489,99,55,332,526,179,522
UTP6,379,1273,318,136,586,817,327,854
UTRN,984,2502,748,327,3628,4604,1787,4615
UTS2,0,0,0,0,0,1,0,0
UTS2B,0,0,0,0,0,0,0,0
UTS2R,0,2,0,0,2,9,5,7
UTY,371,1234,266,121,740,954,360,941
UVRAG,278,915,226,84,482,747,252,656
UVSSA,139,443,114,40,549,770,330,679
UXS1,164,573,91,50,321,401,151,360
UXT,152,664,114,62,211,278,111,312
VAC14,267,1104,247,94,359,489,145,476
VAMP1,142,475,107,58,613,750,348,717
VAMP2,566,2268,466,199,1790,2204,947,2257
VAMP3,916,3221,808,289,1327,1871,720,1868
VAMP4,105,354,70,26,495,728,242,599
VAMP5,26,105,19,13,108,137,55,133
VAMP7,79,299,69,20,187,241,110,225
VAMP8,272,1074,205,87,439,524,213,538
VANGL1,141,389,120,42,162,255,94,215
VANGL2,7,30,9,4,49,68,32,64
VAPA,925,3416,732,338,1284,1753,689,1768
VAPB,1148,3761,898,408,2610,3591,1311,3287
VARS,299,1146,194,96,870,1165,390,1093
VARS2,261,814,195,71,679,922,350,888
VASH1,21,50,22,16,63,94,36,72
VASH2,2,10,0,1,8,21,4,11
VASN,43,163,30,19,294,430,138,343
VASP,199,813,173,78,591,763,302,768
VAT1,210,944,180,79,657,1033,312,880
VAT1L,12,38,14,2,473,587,224,650
VAV1,16,38,15,1,58,153,18,50
VAV2,275,743,191,72,814,1247,437,1041
VAV3,47,158,37,23,153,275,98,181
VAX1,0,0,0,0,0,0,0,0
VAX2,0,1,0,0,0,0,2,1
VBP1,191,726,161,83,418,511,196,542
VCAM1,93,389,109,40,172,294,77,251
VCAN,26,93,12,10,106,178,38,86
VCL,933,2749,786,303,1429,1686,627,1777
VCP,3201,11168,2243,1057,5267,7330,2591,7197
VCPIP1,293,895,214,91,840,1079,396,1154
VCPKMT,17,74,14,12,47,68,28,61
VDAC1,3237,10341,2252,968,4823,7067,2492,6844
VDAC2,3523,13963,2781,1188,4261,5885,2218,5766
VDAC3,1539,5941,1156,511,2564,3258,1317,3526
VDR,28,86,41,14,77,66,29,112
VEGFA,4020,12719,3184,1382,10319,12356,6135,12904
VEGFB,608,2459,593,207,2971,3857,1535,3961
VEGFC,26,64,17,2,63,84,45,100
VEPH1,3,9,3,0,9,11,7,13
VEZF1,428,1360,320,157,1248,1548,574,1555
VEZT,122,384,101,47,353,488,171,464
VGF,0,0,0,0,1,3,0,2
VGLL1,0,1,0,0,0,0,0,0
VGLL2,1,1,0,1,0,0,2,15
VGLL3,15,37,8,8,54,55,24,89
VGLL4,632,1389,540,194,2317,2246,1344,3131
VHL,191,673,146,53,275,362,150,375
VIL1,10,67,11,3,9,18,3,12
VILL,5,7,2,1,9,40,14,14
VIM,3566,9861,2406,614,11473,19297,4668,14240
VIMP,484,2085,293,179,530,708,278,711
VIP,0,2,1,0,1,2,0,2
VIPAS39,448,1719,371,153,796,910,397,953
VIPR1,1,2,1,2,2,7,2,8
VIPR2,0,3,1,2,1,8,4,3
VIT,10,24,9,5,22,29,27,36
VKORC1,132,414,96,50,396,537,240,480
VKORC1L1,840,2737,622,273,1526,2065,747,1975
VLDLR,3830,12345,3262,1289,5123,7212,3004,6797
VMA21,761,2498,540,213,887,1233,422,1280
VMAC,55,174,34,14,365,529,188,479
VMO1,0,0,0,0,1,1,0,0
VMP1,830,2937,613,243,899,1240,450,1189
VNN1,8,13,2,1,78,62,59,113
VNN3,1,5,2,0,11,17,7,15
VOPP1,177,774,188,74,323,406,140,412
VPREB1,1,10,1,1,0,2,1,1
VPREB3,0,7,1,0,7,9,4,3
VPS11,345,1420,302,129,847,1184,430,1091
VPS13A,584,1506,448,156,1822,2730,908,2371
VPS13B,687,1915,457,187,1228,1781,612,1559
VPS13C,1512,3979,1417,506,2559,3102,1239,3101
VPS13D,2209,6358,1722,742,3354,4050,1618,4152
VPS16,164,650,135,56,440,523,206,522
VPS18,145,460,106,46,280,331,123,344
VPS25,493,1772,397,155,804,1041,377,1097
VPS26A,744,2691,559,264,1329,1763,653,1702
VPS26B,369,1206,281,143,1014,1452,529,1302
VPS29,327,1113,231,115,624,778,317,817
VPS33A,1046,3241,736,294,1189,1525,554,1581
VPS33B,95,352,81,24,225,295,110,296
VPS35,2024,7633,1483,664,2675,3807,1311,3532
VPS36,404,1396,318,146,616,820,311,844
VPS37A,548,1789,377,189,890,1135,447,1236
VPS37B,42,210,44,20,126,178,66,159
VPS37C,122,431,103,44,289,348,133,329
VPS37D,7,22,5,0,3,19,5,14
VPS39,391,1333,278,115,746,1039,374,975
VPS41,568,1944,413,184,1232,1769,648,1661
VPS45,162,524,105,51,244,355,153,314
VPS4A,383,1354,358,138,852,995,410,1087
VPS4B,539,1840,387,184,1202,1592,547,1577
VPS50,350,1190,237,98,517,664,241,627
VPS51,227,964,232,88,454,551,248,609
VPS52,422,1366,337,135,838,1092,414,1134
VPS53,181,645,151,51,390,521,174,492
VPS54,776,2388,594,247,1098,1395,550,1379
VPS72,175,681,161,74,502,608,255,623
VPS8,184,645,145,55,510,704,226,674
VPS9D1,153,588,138,50,395,550,190,578
VRK1,79,295,62,21,219,330,106,269
VRK2,28,71,22,7,121,178,59,142
VRK3,191,787,172,70,457,622,260,603
VRTN,0,0,0,0,0,0,0,0
VSIG1,0,0,0,0,0,0,0,0
VSIG10,37,145,34,16,119,161,48,167
VSIG10L,40,157,39,15,253,313,120,319
VSIG2,37,125,37,12,118,118,69,150
VSIG4,1,2,0,0,0,0,1,1
VSIG8,2,0,0,0,1,4,0,0
VSNL1,0,0,1,0,0,2,3,2
VSTM2A,0,0,0,0,2,1,0,1
VSTM2B,0,0,0,0,0,3,3,1
VSTM2L,0,0,0,0,0,0,0,0
VSTM4,44,160,43,21,171,205,78,207
VSTM5,2,6,0,1,1,1,2,2
VSX1,0,1,0,0,2,0,0,2
VSX2,0,5,2,0,7,4,5,7
VTA1,216,856,169,82,372,560,179,442
VTCN1,0,0,0,0,0,0,0,0
VTI1A,151,579,114,47,397,566,201,527
VTI1B,296,1124,279,112,823,1116,410,1039
VTN,31,91,29,19,146,200,71,211
VWA1,59,284,113,43,275,308,141,313
VWA2,0,0,0,0,1,0,0,0
VWA3A,254,854,190,85,251,204,168,352
VWA3B,0,0,1,0,0,2,1,2
VWA5A,176,508,133,54,1297,1878,614,1588
VWA5B1,1,0,1,0,1,1,5,2
VWA5B2,1,4,2,0,4,3,0,7
VWA7,1,9,1,0,3,6,6,12
VWA8,5825,16326,4013,1754,5350,7229,2547,6878
VWA9,310,1045,201,88,447,544,217,545
VWC2,0,0,1,0,3,3,1,0
VWC2L,0,0,0,0,3,0,1,0
VWCE,1,1,3,0,0,0,0,1
VWDE,0,0,0,0,0,0,0,0
VWF,242,983,216,96,625,725,245,704
WAC,787,2663,648,298,1478,1869,745,1950
WAPL,1144,3993,960,426,1649,2348,799,2159
WARS,964,4254,639,404,795,991,349,1082
WARS2,142,407,105,51,215,301,131,280
WAS,12,47,17,4,66,118,15,57
WASF1,1,9,1,0,4,5,2,7
WASF2,807,2512,565,261,1912,3078,926,2639
WASF3,3,8,1,1,14,20,10,16
WASH1,109,425,78,39,366,513,164,500
WASL,485,1564,358,163,1126,1411,540,1472
WBP1,278,925,233,95,1053,1345,570,1420
WBP11,432,1469,321,146,867,1025,409,1077
WBP1L,509,1585,336,172,1056,1409,458,1393
WBP2,629,2362,583,182,1249,1589,575,1725
WBP2NL,0,1,0,0,0,0,0,0
WBP4,233,858,195,84,491,580,236,617
WBSCR17,9,12,7,5,19,32,15,29
WBSCR22,129,464,108,43,280,331,127,355
WBSCR27,46,105,21,12,143,180,94,191
WBSCR28,0,0,0,0,0,0,0,0
WDFY1,114,458,108,50,317,375,134,366
WDFY2,95,317,76,31,207,284,99,225
WDFY3,918,2856,775,357,1708,2006,777,2021
WDFY4,34,99,30,13,182,247,58,145
WDHD1,41,104,18,8,63,76,41,79
WDPCP,46,150,40,11,53,83,26,73
WDR1,843,2903,731,244,1774,2379,914,2394
WDR11,362,1254,307,114,998,1403,489,1223
WDR12,253,868,191,80,355,436,160,487
WDR13,319,1016,230,101,1233,1734,666,1604
WDR17,4,3,0,0,4,2,1,4
WDR18,344,1215,234,117,626,727,274,822
WDR19,39,97,25,8,219,306,123,261
WDR20,221,716,187,84,377,543,210,491
WDR24,148,546,127,58,246,364,151,364
WDR25,70,235,61,22,44,56,22,62
WDR26,1532,4713,1130,474,2665,3404,1384,3440
WDR27,0,1,1,0,0,1,0,4
WDR3,188,628,152,58,414,502,182,449
WDR31,152,338,75,46,229,297,133,267
WDR33,386,1414,294,137,839,1169,472,1085
WDR34,80,375,64,23,144,163,61,169
WDR35,78,253,59,19,231,278,101,286
WDR36,331,1243,213,109,654,870,281,847
WDR37,321,1030,233,111,728,909,304,874
WDR38,3,9,2,1,11,7,1,8
WDR4,246,839,154,71,476,619,255,513
WDR41,281,825,201,81,432,660,222,573
WDR43,235,832,185,63,523,656,253,688
WDR44,76,241,62,26,194,234,84,254
WDR45,212,933,174,88,689,935,415,977
WDR45B,336,1305,261,111,897,1129,450,1117
WDR46,128,505,88,49,160,175,74,262
WDR47,95,277,54,25,295,334,118,333
WDR48,298,859,214,90,950,1295,495,1256
WDR49,2,1,0,0,2,2,2,2
WDR5,189,766,176,83,710,887,372,937
WDR53,51,183,40,27,102,159,41,165
WDR54,10,38,15,2,30,57,29,51
WDR55,104,412,95,26,184,250,104,287
WDR59,152,518,108,59,377,468,163,447
WDR5B,30,111,22,8,70,82,33,100
WDR6,330,1280,214,105,1376,1421,698,1727
WDR60,183,533,104,64,339,424,160,396
WDR61,331,1158,273,98,626,782,348,843
WDR62,102,394,75,32,109,183,83,150
WDR63,0,0,0,0,0,0,0,0
WDR64,0,0,0,0,0,1,1,0
WDR66,18,69,17,12,65,77,26,57
WDR7,345,1059,236,107,496,605,249,630
WDR70,63,310,58,36,177,282,85,235
WDR72,51,135,24,10,9,4,1,3
WDR73,529,2207,445,197,340,328,156,416
WDR74,146,647,117,54,227,273,130,328
WDR75,212,779,158,79,554,615,275,718
WDR76,86,279,60,27,219,261,118,227
WDR77,488,1873,373,159,990,1044,448,1250
WDR78,10,17,1,1,76,117,31,92
WDR81,288,1018,210,100,434,608,208,514
WDR82,527,1829,450,190,1045,1228,539,1449
WDR83,186,773,168,53,221,227,94,224
WDR83OS,239,875,161,69,358,477,184,465
WDR86,4,23,9,2,26,32,16,37
WDR89,33,101,18,3,91,137,52,121
WDR90,37,130,20,15,87,133,55,115
WDR91,355,1380,279,153,592,761,323,736
WDR92,122,481,107,35,297,429,145,395
WDR93,28,103,28,10,74,104,47,88
WDSUB1,96,292,67,29,201,285,148,256
WDTC1,948,3163,702,287,1304,1647,609,1768
WDYHV1,53,158,47,16,194,267,79,234
WEE1,13,57,11,6,123,265,64,174
WEE2,0,0,0,0,0,1,1,0
WFDC1,6,21,5,2,4,14,6,32
WFDC11,0,0,0,0,0,0,0,0
WFDC12,0,4,0,0,0,0,0,1
WFDC13,1,0,0,0,1,0,0,0
WFDC2,0,0,0,0,0,0,0,0
WFDC3,0,4,0,0,8,13,3,11
WFDC5,0,0,0,0,0,0,0,0
WFDC8,0,0,0,0,0,1,0,1
WFDC9,0,0,0,0,0,0,0,0
WFIKKN1,0,5,1,0,2,2,3,7
WFIKKN2,1,15,2,2,1,8,3,7
WFS1,328,945,157,113,399,499,204,502
WHAMM,142,480,118,63,369,476,190,424
WHRN,33,122,32,3,105,98,65,100
WHSC1,266,780,211,85,669,895,302,800
WHSC1L1,449,1479,361,168,952,1245,494,1110
WIF1,0,0,0,0,2,1,0,2
WIPF1,134,436,137,47,471,695,238,597
WIPF2,178,643,144,62,463,601,242,602
WIPF3,228,624,180,58,42,44,13,51
WIPI1,166,462,122,54,327,469,167,423
WIPI2,1656,6045,1252,562,3012,2399,1531,3752
WISP1,1,4,6,0,2,7,4,8
WISP2,6,24,6,1,7,6,1,4
WISP3,1,2,1,0,1,1,0,4
WIZ,277,912,229,104,638,852,321,787
WLS,351,1195,221,115,840,1144,455,1099
WNK1,3193,8509,2468,1029,5859,8235,2959,7584
WNK2,5,13,4,4,12,15,10,53
WNK3,1,5,0,1,7,6,6,8
WNK4,7,10,5,3,6,12,6,10
WNT1,0,0,0,0,0,0,0,0
WNT10A,0,0,0,0,0,2,0,0
WNT10B,0,0,0,0,7,2,0,2
WNT11,80,309,66,25,256,222,93,355
WNT16,3,8,0,0,3,8,5,15
WNT2,1,0,1,0,4,0,0,2
WNT2B,11,22,9,0,16,16,8,14
WNT3,0,0,0,0,0,0,0,0
WNT3A,0,0,0,0,0,0,0,0
WNT4,3,10,3,3,16,11,11,31
WNT5A,232,935,155,68,392,500,214,453
WNT5B,3,20,2,1,6,9,1,7
WNT6,2,1,2,0,7,3,7,16
WNT7A,0,0,0,0,0,0,0,0
WNT7B,0,0,0,0,0,0,0,0
WNT8A,0,0,0,0,0,0,0,0
WNT8B,2,1,0,0,0,1,0,4
WNT9A,19,61,14,5,30,53,17,48
WNT9B,4,22,4,1,0,4,1,1
WRAP53,95,313,79,30,173,245,99,262
WRAP73,83,313,73,39,133,167,70,149
WRB,61,210,44,28,221,296,95,297
WRN,110,386,81,49,553,716,242,612
WRNIP1,128,361,67,37,282,480,158,394
WSB1,161,593,148,60,716,939,437,956
WSB2,519,2008,441,154,772,998,362,1061
WSCD1,11,29,6,2,44,77,22,69
WSCD2,5,19,6,2,39,46,21,86
WT1,0,1,0,0,4,1,1,5
WTAP,653,2300,438,209,1119,1253,505,1333
WTIP,34,174,36,15,102,128,67,167
WWC1,31,98,12,9,6,9,3,16
WWC2,541,1856,462,179,1138,1528,585,1528
WWOX,49,181,40,15,206,301,104,315
WWP1,905,2728,686,300,1734,2613,838,2511
WWP2,229,905,191,102,321,442,158,476
WWTR1,734,2617,669,284,1940,2464,861,2444
XAB2,203,723,188,87,681,800,344,883
XAF1,36,140,33,9,258,377,147,345
XBP1,555,1885,495,194,1272,1902,696,1711
XCL1,1,4,5,0,3,16,2,12
XCR1,3,20,4,0,25,38,13,36
XDH,2364,7400,1625,792,2991,3703,1338,4020
XIAP,1309,4318,1116,465,2548,3012,1283,3113
XIRP1,20,43,18,19,12,24,16,101
XIRP2,60,16,3,24,0,1,63,1004
XK,45,164,35,23,107,167,42,160
XKR4,1,11,0,1,9,7,1,4
XKR5,1,0,0,0,5,2,1,3
XKR6,52,137,38,12,59,56,33,49
XKR7,0,0,0,0,1,0,0,0
XKR8,47,125,37,10,126,167,70,181
XKR9,0,0,0,0,0,0,0,0
XKRX,16,65,12,5,14,20,10,20
XPA,43,167,39,32,110,121,44,115
XPC,90,352,92,37,401,554,188,480
XPNPEP1,460,1830,389,208,545,700,273,714
XPNPEP2,32,64,14,6,27,27,9,27
XPNPEP3,302,974,199,71,698,913,335,958
XPO1,655,2184,587,257,1257,1776,609,1654
XPO4,249,779,216,97,319,391,160,418
XPO5,234,737,162,95,478,585,240,572
XPO6,354,1177,297,110,937,1309,465,1168
XPO7,695,2222,552,268,1227,1763,660,1626
XPOT,678,2607,509,256,1165,1480,533,1543
XPR1,540,1381,339,138,910,1286,492,1280
XRCC1,101,323,72,39,498,596,249,612
XRCC2,35,175,52,19,89,97,29,107
XRCC3,232,678,174,66,372,479,217,468
XRCC4,79,225,41,24,110,143,45,134
XRCC5,76,266,36,16,101,90,44,123
XRCC6,2365,7186,1557,763,3264,4649,2149,4097
XRN1,257,791,240,91,914,1141,455,1135
XRN2,431,1598,331,150,916,1290,415,1160
XRRA1,1,0,0,0,3,2,2,1
XXYLT1,83,298,69,39,210,301,116,282
XYLB,21,75,14,8,28,21,13,29
XYLT1,79,279,124,31,84,127,44,81
XYLT2,165,597,133,66,370,450,174,467
YAE1D1,304,1028,235,98,482,633,259,661
YAF2,253,687,155,87,551,776,283,775
YAP1,498,1676,398,162,1269,1965,694,1757
YARS,545,2267,406,182,498,636,256,672
YARS2,315,1040,204,101,424,512,212,560
YBEY,35,171,29,14,57,104,30,77
YBX1,2648,8972,2175,916,10058,13180,5249,13621
YBX2,228,677,196,77,1313,1605,705,1591
YBX3,1396,4855,1019,489,2928,3666,1384,4277
YDJC,11,44,14,2,18,14,9,30
YEATS2,113,361,91,36,331,447,161,404
YEATS4,131,469,91,52,232,359,125,362
YES1,286,936,247,97,904,1228,475,1174
YIF1A,486,1871,345,157,836,1084,443,1138
YIF1B,793,2693,541,272,642,886,358,863
YIPF1,203,780,166,62,429,548,207,564
YIPF2,89,437,73,33,366,375,184,429
YIPF3,396,1556,359,148,622,766,321,799
YIPF4,578,2187,473,193,1324,1850,687,1821
YIPF5,328,1327,255,127,539,676,286,692
YIPF6,698,2272,516,255,982,1289,486,1292
YIPF7,2,6,0,1,0,2,1,25
YJEFN3,24,50,11,6,134,151,64,132
YKT6,594,2271,483,173,1080,1322,508,1416
YLPM1,371,1021,299,111,1347,1803,715,1739
YME1L1,1093,4114,939,345,2323,3011,1168,3197
YOD1,115,407,96,38,264,327,136,329
YPEL1,27,41,14,6,29,56,21,40
YPEL2,204,685,180,73,488,653,252,658
YPEL3,363,1076,255,114,2004,2381,1086,2562
YPEL4,2,7,2,2,8,9,6,10
YPEL5,426,1428,300,148,836,1215,433,1047
YRDC,244,973,171,83,269,311,111,287
YTHDC1,529,1678,431,158,1464,1584,771,1716
YTHDC2,115,412,108,47,256,285,133,312
YTHDF1,356,1238,250,133,651,823,353,815
YTHDF2,339,1195,279,97,592,651,248,767
YTHDF3,1110,3700,870,381,2095,2485,1029,2453
YWHAB,3820,13383,3184,1298,4411,5575,2095,5810
YWHAE,2337,8113,1772,820,4853,6217,2348,6233
YWHAG,5511,18471,4508,1830,8179,10239,3991,11074
YWHAH,342,1333,347,129,940,1374,496,1250
YWHAQ,1539,5070,1199,507,3910,4941,1988,5047
YWHAZ,1009,3668,746,393,2492,3450,1409,3192
YY1,319,1175,240,126,992,1294,504,1308
YY2,34,81,6,0,41,24,29,84
ZADH2,1292,3902,840,341,2530,3345,1338,3314
ZAN,1,15,1,0,19,22,10,20
ZAP70,1,8,7,0,14,26,4,16
ZAR1,0,1,0,0,1,3,0,1
ZAR1L,0,0,0,0,0,0,0,0
ZBBX,0,0,0,0,0,0,0,0
ZBED3,132,351,105,44,241,308,134,313
ZBED4,131,385,92,37,301,337,165,443
ZBED5,7,30,6,4,94,99,51,149
ZBED6,190,548,140,26,472,702,199,643
ZBP1,2,20,13,2,50,112,16,57
ZBTB1,136,414,81,40,337,519,192,422
ZBTB10,176,459,134,66,442,533,275,579
ZBTB11,282,944,228,80,599,544,305,766
ZBTB12,9,38,8,2,141,207,80,209
ZBTB14,146,399,103,33,339,537,169,446
ZBTB16,337,1028,269,173,453,652,410,597
ZBTB17,122,452,95,33,210,304,114,284
ZBTB18,375,1145,247,116,591,775,287,796
ZBTB2,71,296,64,32,273,287,130,330
ZBTB20,2387,5382,1734,875,5537,6843,3231,6265
ZBTB21,139,414,110,47,396,454,238,512
ZBTB22,241,934,171,87,284,423,170,382
ZBTB24,74,211,32,22,169,228,96,240
ZBTB25,25,93,12,7,112,147,43,113
ZBTB26,113,360,107,43,277,322,137,360
ZBTB3,21,66,12,5,24,29,11,33
ZBTB32,10,27,4,1,23,29,14,26
ZBTB33,403,1247,307,147,703,804,360,883
ZBTB34,122,390,88,39,265,361,136,337
ZBTB37,199,561,154,61,735,894,400,871
ZBTB38,398,1345,341,135,753,997,400,1052
ZBTB39,172,437,110,48,375,461,207,482
ZBTB4,336,975,267,110,1131,1370,487,1359
ZBTB40,201,680,168,60,256,321,131,309
ZBTB41,531,1656,459,207,1014,1460,533,1295
ZBTB42,31,117,30,9,55,73,25,67
ZBTB43,301,1086,240,125,668,741,280,777
ZBTB44,294,1026,249,110,762,1167,450,1120
ZBTB45,55,191,28,26,72,127,50,122
ZBTB46,268,848,236,97,813,983,426,977
ZBTB48,30,126,25,14,124,136,59,154
ZBTB49,48,155,41,20,186,187,94,195
ZBTB5,154,502,119,46,447,562,199,555
ZBTB6,152,529,142,46,512,482,278,604
ZBTB7A,1001,3402,754,348,1195,1888,630,1622
ZBTB7B,1314,4602,1074,435,1524,2029,787,1982
ZBTB7C,11,32,7,8,51,61,24,85
ZBTB8A,29,98,25,13,80,135,49,95
ZBTB8B,3,5,1,2,7,8,3,11
ZBTB8OS,212,555,125,67,282,333,126,394
ZBTB9,71,152,12,23,58,46,12,42
ZC2HC1A,101,308,80,36,219,318,125,286
ZC2HC1B,0,1,0,0,0,0,0,0
ZC2HC1C,6,14,1,0,7,18,5,16
ZC3H10,103,424,69,42,256,310,146,369
ZC3H11A,651,2258,483,222,2386,3662,1341,3107
ZC3H12A,70,242,50,30,234,400,112,313
ZC3H12B,2,24,5,5,23,28,11,23
ZC3H12C,58,189,42,12,131,257,73,201
ZC3H12D,7,10,6,1,15,29,8,15
ZC3H13,268,981,234,121,742,871,327,841
ZC3H14,762,2595,560,260,1636,2401,845,2169
ZC3H15,660,2248,517,210,975,1391,543,1297
ZC3H18,277,936,239,97,610,692,312,830
ZC3H3,61,211,62,19,191,315,82,244
ZC3H4,355,1126,305,129,758,1169,406,1009
ZC3H6,22,74,13,7,374,630,285,475
ZC3H7A,348,1249,267,145,1025,1332,518,1311
ZC3H7B,435,1107,284,134,1466,1997,722,1935
ZC3H8,92,273,58,33,151,257,88,212
ZC3HAV1,216,843,217,99,728,1090,382,1092
ZC3HAV1L,11,36,9,3,38,60,25,45
ZC3HC1,107,388,75,48,250,310,138,320
ZC4H2,16,56,13,6,67,57,26,86
ZCCHC10,35,141,35,12,97,87,50,110
ZCCHC11,163,564,136,73,607,852,315,772
ZCCHC12,0,3,0,0,0,0,0,0
ZCCHC13,0,0,0,0,0,0,0,0
ZCCHC14,315,1049,275,115,1062,1261,502,1247
ZCCHC16,0,2,1,0,2,2,4,3
ZCCHC17,174,638,153,48,271,331,142,344
ZCCHC18,1,7,1,0,5,9,5,8
ZCCHC2,489,1472,364,133,926,1250,477,1094
ZCCHC24,1372,4398,1135,454,1889,2719,1077,2536
ZCCHC3,106,459,85,42,85,91,56,106
ZCCHC4,163,666,149,64,303,359,145,413
ZCCHC5,1,1,0,0,6,10,2,6
ZCCHC6,530,1737,462,206,1370,1602,633,1676
ZCCHC7,287,1010,237,98,806,962,430,950
ZCCHC8,255,969,212,95,532,666,275,625
ZCCHC9,140,587,122,54,220,303,124,311
ZCRB1,424,1349,303,129,949,1183,464,1213
ZCWPW1,43,97,21,13,163,215,113,220
ZCWPW2,2,3,2,1,15,15,5,17
ZDBF2,25,71,10,5,21,23,12,26
ZDHHC1,100,356,84,28,305,420,184,374
ZDHHC11,0,0,0,0,0,0,0,0
ZDHHC12,29,97,36,6,85,114,40,106
ZDHHC13,59,255,50,34,53,73,22,49
ZDHHC14,84,211,63,19,105,184,56,166
ZDHHC15,6,18,4,0,14,27,12,25
ZDHHC16,110,335,67,31,214,276,125,302
ZDHHC17,602,1891,501,215,872,1273,499,1132
ZDHHC18,266,1085,246,105,641,907,318,830
ZDHHC19,0,1,1,0,2,2,0,4
ZDHHC2,201,514,115,45,837,972,405,1131
ZDHHC20,249,752,187,95,483,649,254,630
